,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
57,time_series_strategy,cpd_frequency_delta3,"[17, 40, 58, 85, 129]","[40, 86, 129]",0.67,10.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
58,time_series_strategy,cpd_prob_freq_delta1,"[39, 84, 129]","[40, 86, 129]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
59,time_series_strategy,cpd_prob_freq_delta3,"[39, 43, 85, 129]","[40, 86, 129]",0.8,1.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
60,time_series_strategy,cramersv_frequency1,"[40, 65, 83, 129]","[40, 86, 129]",0.8,8.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
61,time_series_strategy,cramersv_frequency3,"[40, 44, 59, 81, 85, 129]","[40, 86, 129]",0.57,5.8,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
62,threshold_strategy,gtest_frequency1,"[41, 83, 129]","[40, 86, 129]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
63,threshold_strategy,gtest_frequency3,"[41, 83, 129]","[40, 86, 129]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
64,time_series_strategy,cpd_frequency_delta1,"[40, 87, 132]","[41, 88, 132]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
65,time_series_strategy,cpd_frequency_delta3,"[41, 88, 132]","[41, 88, 132]",1.0,0.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
66,time_series_strategy,cpd_prob_freq_delta1,"[41, 86, 132]","[41, 88, 132]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
67,time_series_strategy,cpd_prob_freq_delta3,"[42, 87, 132]","[41, 88, 132]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
68,time_series_strategy,cramersv_frequency1,"[42, 46, 78, 85, 132]","[41, 88, 132]",0.67,4.75,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
69,time_series_strategy,cramersv_frequency3,"[42, 47, 79, 87, 132]","[41, 88, 132]",0.67,4.25,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
70,threshold_strategy,gtest_frequency1,"[42, 85, 132]","[41, 88, 132]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
71,threshold_strategy,gtest_frequency3,"[42, 85, 132]","[41, 88, 132]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,2000,Fixed,True,500,3,8
72,time_series_strategy,cpd_frequency_delta1,"[37, 79, 120]","[38, 79, 120]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
73,time_series_strategy,cpd_frequency_delta3,"[38, 80, 120]","[38, 79, 120]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
74,time_series_strategy,cpd_prob_freq_delta1,"[38, 43, 78, 120]","[38, 79, 120]",0.8,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
75,time_series_strategy,cpd_prob_freq_delta3,"[38, 44, 79, 120]","[38, 79, 120]",0.8,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
76,time_series_strategy,cramersv_frequency1,"[37, 43, 79, 120]","[38, 79, 120]",0.8,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
77,time_series_strategy,cramersv_frequency3,"[37, 44, 80, 120]","[38, 79, 120]",0.8,2.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
78,threshold_strategy,gtest_frequency1,"[38, 78, 120]","[38, 79, 120]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
79,threshold_strategy,gtest_frequency3,"[38, 78, 120]","[38, 79, 120]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,2000,Fixed,True,500,3,8
80,time_series_strategy,cpd_frequency_delta1,"[5, 37, 81, 122]","[39, 81, 122]",0.8,12.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency_2.mxml.gz,Size1/Frequency_2,2,Fixed,2000,Fixed,True,500,3,8
81,time_series_strategy,cpd_frequency_delta3,"[7, 38, 82, 122]","[39, 81, 122]",0.8,11.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency_2.mxml.gz,Size1/Frequency_2,2,Fixed,2000,Fixed,True,500,3,8
82,time_series_strategy,cpd_prob_freq_delta1,"[6, 38, 44, 80, 122]","[39, 81, 122]",0.67,10.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency_2.mxml.gz,Size1/Frequency_2,2,Fixed,2000,Fixed,True,500,3,8
83,time_series_strategy,cpd_prob_freq_delta3,"[39, 45, 76, 82, 122]","[39, 81, 122]",0.67,3.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency_2.mxml.gz,Size1/Frequency_2,2,Fixed,2000,Fixed,True,500,3,8
84,time_series_strategy,cramersv_frequency1,"[40, 49, 74, 78, 122]","[39, 81, 122]",0.67,5.25,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency_2.mxml.gz,Size1/Frequency_2,2,Fixed,2000,Fixed,True,500,3,8
