,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
55,threshold_strategy,fixed_frequency_delta_percentage3,[95],"[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",0.0,,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
56,time_series_strategy,cpd_frequency_delta1,"[5, 10, 12, 15, 19, 24, 29, 34, 39, 43, 47]","[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",0.95,0.9,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
57,time_series_strategy,cpd_frequency_delta3,"[5, 11, 15, 20, 25, 30, 35, 39, 45, 47]","[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",1.0,1.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
58,time_series_strategy,cpd_prob_freq_delta1,"[5, 9, 15, 19, 24, 29, 34, 38, 43, 47]","[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
59,time_series_strategy,cpd_prob_freq_delta3,"[6, 11, 15, 20, 25, 30, 35, 39, 44, 47]","[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",1.0,1.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
60,threshold_strategy,gtest_frequency1,"[5, 10, 14, 19, 24, 29, 33, 39, 43, 47]","[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
61,threshold_strategy,gtest_frequency3,"[5, 10, 14, 19, 24, 29, 33, 39, 43, 47]","[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
62,threshold_strategy,fixed_frequency_delta_percentage1,"[1, 10, 12, 22, 23, 32, 33, 39, 40, 42, 43, 47]","[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",0.7,1.09,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
63,threshold_strategy,fixed_frequency_delta_percentage3,[47],"[4, 9, 14, 19, 23, 28, 33, 38, 43, 47]",0.0,,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf5k.mxml,cf,5000,Fixed,1000,Fixed,False,0,3,4
64,time_series_strategy,cpd_frequency_delta1,"[7, 14, 22, 28, 36, 42, 50, 57, 64, 71]","[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",1.0,0.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
65,time_series_strategy,cpd_frequency_delta3,"[8, 14, 65, 71]","[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",0.5,1.0,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
66,time_series_strategy,cpd_prob_freq_delta1,"[7, 14, 22, 28, 36, 43, 50, 57, 64, 71]","[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
67,time_series_strategy,cpd_prob_freq_delta3,"[8, 15, 23, 29, 37, 44, 51, 58, 65, 71]","[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",1.0,1.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
68,threshold_strategy,gtest_frequency1,"[7, 15, 21, 29, 36, 43, 50, 57, 64, 71]","[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",1.0,0.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
69,threshold_strategy,gtest_frequency3,"[7, 15, 21, 29, 36, 43, 50, 57, 64, 71]","[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",1.0,0.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
70,threshold_strategy,fixed_frequency_delta_percentage1,"[2, 4, 6, 16, 17, 18, 19, 20, 21, 30, 32, 58, 59, 62, 63, 71]","[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",0.58,1.87,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
71,threshold_strategy,fixed_frequency_delta_percentage3,[71],"[6, 14, 21, 28, 35, 42, 49, 57, 64, 71]",0.0,,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf7.5k.mxml,cf,7500,Fixed,1000,Fixed,False,0,3,4
72,time_series_strategy,cpd_frequency_delta1,"[9, 18, 27, 36, 45, 54, 64, 73, 82, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 82, 90]",1.0,0.22,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cm\cm10k.mxml,cm,10000,Fixed,1000,Fixed,False,0,3,4
